tags	keywords	lyrics
rap,hip-hop,gangsta rap,east coast rap	squeeze six knuckles shorter,sell records like snoop,nigga turned around holdin	I'm sittin in the crib dreamin about leer jets and coupes;The way salt shoops and how they sell records like snoop;Oops!;I'm interrupted by a doorbell;3: 52, who the hell is this?;I gets up quick;Cocks my shit;Stop the dogs from barkin;Then proceed to walkin;Its a face that I seen before;My nigga sing, we used to sling on the 16th floor;Check it;I look deeper;I see blood up on his sneakers;And his fist gripped a chrome four-fifth;So I dip;Nigga, is you creepin or speakin?;He tells me c-rock just got hit up at the beacon;I opens up the door, pitiful;Is he in critical?;Retaliation for this one won't be minimal;Cuz I'm a criminal;Way before the rap shit;Bust the gat shit;Puff won't even know what happened,;If it's done smoothly;Silencers on the uzi;Stash in the hooptie;My alibi, any cutie;With a booty that done fuck the pop;Head spinnin, reminiscin bout my man c-rock;;Somebody's got ta die;If I got, you got ta go;Somebody's got to die;Let the gunshots blow;Somebody's got to die;Nobody got ta know;That I killed yo ass in the mist, kid;;Somebody's got ta die;If I got, you got ta go;Somebody's got to die;Let the gunshots blow;Somebody's got to die;Nobody got ta know;That I killed yo ass in the mist, kid;;Fillin clips he explained our situation;Precisely, so we know exactly what we facin;Some kid named jason;In a honda station wagon;Was braggin;About how much loot and crack he stackin;Rock had a grip so they formed up a clique;Small crew;'round the time I was locked up with you;True indeed;But yo nigga let me proceed;Don't fill them clips too high;Give them bullets room to breathe;Damn where was i?;Yeah;One night in town;Blew the fuck up;D-rock went home;And jay got stuck the fuck up;Hit 'em twice;Got 'em right for the virgin white;Pistol whipped his kids;And taped up his wife;He said yo rock, set em up, no question;Wet em up no less;Than 50 shots in his direction;How many shots?;Man nigga, I seen mad holes;What kinda gats?;Hitch links, cocks, and calicoles;But fuck that;I know where all them niggas rest at;In the buildin hustlin;And they don't be strapped;Supreme in black;Is downstairs, the engine runnin;Find a bag to put the guns in;And c'mon if yo comin;;Somebody's got ta die;If I got, you got ta go;Somebody's got to die;Let the gunshots blow;Somebody's got to die;Nobody got ta know;That I killed yo ass in the mist, kid;;Somebody's got ta die;If I got, you got ta go;Somebody's got to die;Let the gunshots blow;Somebody's got to die;Nobody got ta know;That I killed yo ass in the mist, kid;;Exchanged hugs and pounds before the throw down;How it's gonna go down;Lay these niggas low-down;Slow down;Fuck all that plannin shit;Run up in they cribs;And make em catch the man n shit;See niggas like you do ten year bids;Miss the niggas they want;And murder innocent kids;Not i;One niggas in my eye;That's jason;Ain't no slugs gonna be wasted;Revenge I'm tastin at the tip of my lips;I can't wait to feel my clip in his hips;Pass the chocolate;Thai;Sing ain't lie;There's jason with his back to me;Talkin to his faculty;I start to get a funny feelins;Put the mask on in case his niggas start squealin;Scream his name out;Squeeze six knuckles shorter;Nigga turned around holdin his daughter
dance,pop,forever,bigroom	flew like birds,take cover,new beginning	I was alone;I was made of stone;You took me home;We built to world;;A world for us;We flew like birds;A new beginning;It's better;Better;Better;You are keeping me together;Gether;Gether;;You know that I will never;;Never;Ever;;Try to pull you down;Down;;Loved;Loved;Loved;;You can always be here;I'll take cover;You know that I will never;Never;Ever;Leave you all alone;I'd be nothing if it wasn't for you...;If it wasn't for you...;;I was a fool;Always keeping a distance;If I'd ever know;You found a way;I thought I always stayed the same;Because of you;I saw a new beginning;It's better;Better;Better;You are keeping me together;Gether;Gether;You know that I will never;Never;Ever;Try to pull you down;Down;Loved;Loved;Loved;You can always be here;I'll take cover;You know that I will never;Never;Ever;Leave you all alone;I'd be nothing if it wasn't for you...;If it wasn't for you...;I'd be nothing if it wasn't for you...;I'd be nothing if it wasn't for you...
rock,alternative rock,alternative,female vocalists,irish,90s	uh ...,greatest irony,get away	Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh;;I've got a picture in my head, in my head;It's me and you, we are in bed, we are in bed;You'll always be there when I call, when I call;You'll always be there most of all, all, all, all;;This is not Hollywood, like I understood;Is not Hollywood, like, like, like;This is not Hollywood, like I understood;Is not Hollywood, like, like, like;Runaway, runaway, is there anybody there?;Runaway, runaway, is there anybody there?;Get away, get away, get away-ay-ay-ay-ay-ay-ay;Get away, get away, get away-ay-ay-ay-ay-ay-ay;Ooh-oh-oh-oh, oohh-oh-oh-oh-oh;Ooh-oh-oh-oh, oohh-oh-oh-oh-oh;;I've got a picture in my room, in my room;I will return there I presume should be soon;The greatest irony of all, shoot the wall;It's not so glamorous at all, all, all, all;;This is not Hollywood, like I understood;Is not Hollywood, like, like, like;This is not Hollywood, like I understood;Is not Hollywood, like, like, like;Runaway, runaway, is there anybody there?;Runaway, runaway, is there anybody there?;Get away, get away, get away-ay-ay-ay-ay-ay-ay;Get away, get away, get away-ay-ay-ay-ay-ay-ay;Ooh-oh-oh-oh, oohh-oh-oh-oh-oh;Ooh-oh-oh-oh, oohh-oh-oh-oh-oh;;This is not Hollywood (runaway);This is not Hollywood;Like, like (runaway);Like, like (runaway);Like, like (runaway);Like, like (runaway);Like, like (runaway);Like, like (runaway);Like, like (runaway);Like, like (runaway);Like, like (runaway);Like, uh...
indie rock,indie,indie rock,indie,british	pretty kind,old school,never leave	She had a face straight out a magazine;God only knows but you'll never leave her;Her balaclava is starting to chafe;When she gets his gun he's begging, babe stay, stay;Stay, stay, stay;;I'll give you one more time;We'll give you one more fight;Said one more line;Will I know you?;;Now if you never shoot, you'll never know;And if you never eat, you'll never grow;You've got a pretty kind of dirty face;And when she's leaving your home;She's begging you to stay, stay;Stay, stay, stay;;I'll give you one more time;We'll give you one more fight;Said one more line;There'll be a riot, cause I know you;;Well now that you've got your gun;It's much harder now the police have come;And I'll shoot him if it's what you ask;But if you just take off your mask;;You'd find out everything's gone wrong;;Now everybody's dead;And they're driving past my old school;And he's got his gun, he's got his suit on;She says, babe, you look so cold;You look so cold;You look so cold;You look so cold;You look so cold;You look so cold
grindcore,metal	victims sure,tyrants chose,peels away	Lined up on the road to death;Victims sure to die;Trapped in lives of living hell;Horror in their minds;Tyrants chose their destiny;Picked to die at birth;Bunred behind the concrete walls;Their screams are never heard;;Flesh it burns and peels away;The blood boils in your veins;Inhale the smoke from burning flesh;Hear the screams of pain;Vomit as you start to die;Choking on the bile;Corpses hooked and dragged away;Thrown into the pile;;Roasting in the crematorium, death is slow;Flames burn your fucking flesh to the bone
pop,dance,unbroken,demi lovato	every little piece,gonna fall like,would never feel	Locked up tight;Like I would never feel again;Stuck in some kind of love prison;And threw away the key, oh, oh;;Terrified;Until I stared into your eyes;Made me stop to realise;The possibilities;So, so;;I'm gonna love you like I've never been broken;I'm gonna say it like it's never been spoken;Tonight, tonight I'm letting go, go, go, go;I'm gonna give it like it's never been taken;I'm gonna fall like I don't need saving;Tonight, tonight I'm letting go, go, go;;So played out;The same lies with a different face;But there's something in the words you say;That makes you all feel so real;;I'm gonna love you like I've never been broken;I'm gonna say it like it's never been spoken;Tonight, tonight I'm letting go, go, go, go;I'm gonna give it like it's never been taken;I'm gonna fall like I don't need saving;Tonight, tonight I'm letting go, go, go;;No need for me to run, run, run;You're making me believe in everything;No need to go and hide, hide, hide;Gonna give you every little piece of me;;I'm gonna love you like I've never been broken;I'm gonna love you like I've never been broken;;I'm gonna love you like I've never been broken;I'm gonna say it like it's never been spoken;Tonight, tonight I'm letting go, I'm letting go;I'm gonna give it like it's never been taken;I'm gonna fall like I don't need saving;Tonight, tonight I'm letting go, go, go, go
hard rock,nu metal,heavy metal,rock	single day,pledge allegiance,opinion starts	Come on, bore me;Tell me a little more about you;Come on and bore me please;Bore me, tell me what you think;;I cannot believe;I got through a single day;Of my life without you;;This all about me, this is not about you;This all about me, this is not about you;This all about me, this is not about you;This all about me, not you;;Why every time I try, you never hear me;You only hear you;Why every time I try, I never get through;This all about me, not you;This time it's all about me, not you;;Hey wait, I think I might have something to say;Hey wait, I think I might have something to add;Ain't it funny how when my opinion starts to spill;It falls on deaf ears;;This all about me, this is not about you;This all about me, this is not about you;This all about me, this is not about you;This all about me, not you;;Why every time I try, you never hear me;You only hear you;Why every time I try, I never get through;This all about me, not you;;I pledge allegiance to myself;To me, myself and I, go;;This all about me, this is not about you;This all about me, this is not about you;This all about me, this is not about you;This all about me, not you;;Why every time I try, you never hear me;You always hear you;Why every time I try, I never get through;This all about me;;Why every time I try, you never hear me;You always hear you;Why every time I try, I never get through;This all about me, not you;This time it's all about me, not you;;I pledge allegiance to myself;To me, myself and I;I pledge allegiance to myself;To me, myself and I
pop punk,rock,pop,alternative,pop rock	oh oh ohoh ohwo,two bodies intertwined,oh ahoh ahoh	-We used to have a light, now it's too dark to shine;(Ohwo-oh oh ohoh ohwo-ah-ohoh);Now we're just passing by, two shipwrecks in the night;(Ohwo-oh oh ohoh ohwo-oh ahoh ahoh);;Remember when we met, yeah I know I was mean;Stones shirt, black boots, and black jeans;And you were such a mess, I thought it was sweet;But that night still haunts my dreams;;I won't keep chasing ghosts;I need somebody I can hold;Gave you my heart and soul;Thought I was chasing love, I was only chasing a ghost;(Ahwo-oh-oh ahoh);;Thought I was chasing love, I was only chasing a ghost;Blue from the TV light, two bodies intertwined;(Ohwo-oh oh ohoh ohwo-ah-ohoh);I guess we tempted fate, always so far away;;(Ohwo-oh oh ohoh ohwo-oh ahoh ahoh);Remember when we met, yeah I know I was mean;Stones shirt, black boots and black jeans;And you were such a mess, I thought it was sweet;;But that night still haunts my dreams;I won't keep chasing ghosts;I need somebody I can hold;Gave you my heart and soul;Thought I was chasing love, I was only chasing a ghost;;(Ahwo-oh-oh ahoh);Thought I was chasing love, I was only chasing a ghost;(Ahwo-oh-oh ahoh);Remember when you left, yeah I thought it was mean;;Stones shirt, black boots and everything...;I let you fool me twice, well shame on me;That night still haunts my dreams;I won't keep chasing ghosts;I need somebody I can hold;Gave you my heart and soul;Thought I was chasing love, I was only chasing a ghost;(Ahwo-oh-oh ahoh);Thought I was chasing love, I was only chasing a ghost;(Ahwo-oh-oh ahoh)
pop,british,male vocalists,olly murs,olly murs-busy	get one life ...,get one life,whole world rushing	Weekends in bed, no scramble eggs, or bacon;I just have time for you;Backs on the grass, heads in the clouds, we;Closed our eyes;Enjoy the view;;We don't wanna hear;The real world passing by;Saying that we're crazy;;We spend all our time lying side by side;Going nowhere, it's really something;Getting busy doing nothing;We spend all our time running for our lives;Going nowhere, it's really something;Getting busy, doing nothing.;;No magazines or DVD's we both got;Better things to do;I'll hold your hand;Or shall we dance together;It's so hard to choose;;Every time we hear;The whole world rushing by;I know that we're not crazy;;We spend all our time lying side by side;Going nowhere, it's really something;Getting busy doing nothing;We spend all our time running for our lives;Going nowhere, it's really something;Getting busy, doing nothing.;;Should be working hard;Instead of lying here naked;Phone rings but I wont take it;Cos you only get one life... only get one life;;All our time lying side by side;Going nowhere, it's really something;Getting busy doing nothing;We spend all our time running for our lives;Going nowhere, it's really something;Getting busy, doing nothing.;All our time, doing nothing;All our time, getting busy doing nothing.
electronic,alternative,rap,indie,indie pop	let us use,dark hiding place,could set fire	I know you're not a liar;And I know you could set fire;This day;Go ahead and make me look away;Strike me down;I am calling your lightning;Down from your dark hiding place;Go ahead and show me;Your face;;Reign down;And destroy me;Reign down;And destroy me;Reign down;;I mean no disrespect;I am simply very perplexed by your ways;Why won't you let us use your name?;;Reign down;And destroy me;Reign down;And destroy me;Reign down;And destroy me;Reign down;And destroy me;;Reign down;Reign down
post-punk,80s,goth rock,gothic	may never come,looking fair enough,true embrace	Well, you keep coming up to me;You keep saying that it's up to me;You ain't nothing but a true embrace;You ain't nothing but a hidden face;And you're looking fair enough to me;You just see what you want to see;;I want to know if you really care;I want to take you way down there;And stand in the rain and get you wet;You say you love me but not quite yet;I want to go out there to an open space;Those tears to cry and show your face;;Oh, I'm so soaked to the skin;Yeah, I'm so soaked to the skin;You want to talk about the weather;Saturation is a point;There's nothing left you know;Nowhere left for me to hide;Nothing left but still alive;To face it all and here today;There's nothing left in you and me;;And I can't show you this inside;If all you want to do is hide;I want to take you out and get you wet;You say you love me but not quite yet;I want to go out there to a sheltered place;Those tears to cry and show your face;;Oh I'm so soaked to the skin;Yeah, I'm so soaked to the skin;You want to talk about the weather;;Sheltered from tomorrow;As though it may never come;You hide behind a wall of stone;And then you feel you're not alone;;So face it all, it's here today;You love me in your sheltered way;And I can't hold you in my hands;And talk about these hidden charms;I want to take them...;;You want to talk about the weather;Oh, I'm so soaked to the skin;Yeah, I'm so soaked to the skin;You want to talk about the weather
alternative rock,rock,alternative,shoegaze	lone poor shoe,chaos giving orders,whole world	One, two, three;;Fish fell out of water;Birds stuck on the ground;Chaos giving orders;Everything is upside down;The whole world on a flight path;I wonder where they'll go, ah;Trouble's on the outside, I know;;But now, all I can think about is you;All I can think about is you;If all that I'm on earth to do;Is solo then what a lone poor shoe;I want to walk in a two;;Go;It's all I can;It's all I can;It's all I can;It's all I can do;It's all I can do;;Everything is falling all around you;It's all I can do;All I can think about is you;It's all I can;All I can think about is you;Love is the only thing left that's true
post-punk,new wave,dark wave,darkwave,alternative,indie	cause someone must get hurt,someone might get hurt,stand quite still	Please don't touch me;I've come to far to let you bring me down;He's thinks that I'm easy;But try as you might you can't have me now;;These tedious dances;We run through but I've memorized them now;I quietly melt down;Ad consent to you if only just to ball;;As I stare through you and I stand quite still;And an alarm sounds just up the road;I can tell you'd like some company;But I can't fix you and you don't want me;;I call for the witness;Present the facts right down to the little things;They say the heart is resilient;In black and white you swore there'd be no strings;;I sneak out the back door;But the gavel strikes, and I can hear you cry;And the sound of my footsteps;This time there will be no long goodbye;;As I stare through you and I stand quite still;And an alarm sounds just up the road;I can tell you'd like some sympathy;But I can't fix you and you don't want me;;How can I trust you?;How could you need me now?;Its getting to be so cold;;The decision is in and I won't break;You cut and you run with our lives at stake;Well, someone might get hurt and it won't be me;;The decision is in there will be no fight;It might sound cold but I know its right;Cause someone must get hurt and it won't be me
